sep=,
Name, Score, Time, WindOpinion, SolarOpinion, AwarenessWind, AwarenessSolar, LevelsPlayed
, 30.30545, 12-21-01PM, 3, 3, 3, 3, 2
, 25.96997, 12-42-55PM, 3, 3, 3, 3, 1
, 31.05913, 12-45-40PM, 3, 3, 3, 3, 1
