sep=,
Name, Score, Time, WindOpinion, SolarOpinion, AwarenessWind, AwarenessSolar, LevelsPlayed
GG, 28.59797, 9-53-54AM, 5, 5, 5, 5, 2
HANS, 22.81959, 11-26-21AM, 5, 5, 5, 5, 2
