sep=,
Name, Score, Time, WindOpinion, SolarOpinion, AwarenessWind, AwarenessSolar, LevelsPlayed
, 16.82874, 1-40-53PM, 3, 3, 3, 3, 1
, 16.83034, 1-42-55PM, 3, 3, 3, 3, 1
